"faltas";"nota_media";"turno";"escolaridade_mae";"acesso_internet"
4;4,2;"Matutino";"Médio";"Sim"
9;6,6;"Vespertino";"Médio";"Não"
5;7,6;"Vespertino";"Médio";"Sim"
5;6,8;"Matutino";"Médio";"Não"
8;5,7;"Vespertino";"Fundamental";"Sim"
10;8,2;"Matutino";"Fundamental";"Sim"
14;9,5;"Matutino";"Médio";"Não"
5;6,6;"Vespertino";"Fundamental";"Não"
9;10;"Matutino";"Médio";"Sim"
9;3,7;"Noturno";"Superior";"Não"
4;4,9;"Matutino";"Superior";"Não"
12;8,8;"Noturno";"Fundamental";"Não"
6;5,4;"Vespertino";"Médio";"Não"
6;8,8;"Matutino";"Fundamental";"Sim"
5;5,2;"Matutino";"Médio";"Sim"
10;9;"Vespertino";"Superior";"Sim"
5;5,7;"Matutino";"Superior";"Sim"
7;6,4;"Noturno";"Fundamental";"Sim"
10;7,2;"Matutino";"Médio";"Sim"
6;4;"Noturno";"Fundamental";"Sim"
7;6,4;"Vespertino";"Médio";"Sim"
7;6,5;"Vespertino";"Médio";"Sim"
11;9;"Vespertino";"Fundamental";"Não"
11;4,4;"Matutino";"Fundamental";"Sim"
9;9,1;"Noturno";"Médio";"Sim"
7;6,3;"Matutino";"Superior";"Sim"
8;5,8;"Vespertino";"Médio";"Não"
12;8,4;"Vespertino";"Médio";"Sim"
13;7,1;"Noturno";"Médio";"Sim"
13;8,3;"Vespertino";"Fundamental";"Sim"
6;9,7;"Vespertino";"Médio";"Sim"
2;6,4;"Vespertino";"Médio";"Sim"
9;3;"Matutino";"Fundamental";"Sim"
8;5,5;"Noturno";"Fundamental";"Não"
19;6,1;"Vespertino";"Fundamental";"Sim"
8;6,7;"Matutino";"Médio";"Não"
7;3,4;"Vespertino";"Médio";"Sim"
6;5,1;"Matutino";"Superior";"Sim"
13;5,6;"Vespertino";"Médio";"Sim"
13;6,1;"Vespertino";"Fundamental";"Sim"
4;5,2;"Matutino";"Médio";"Sim"
12;5,5;"Vespertino";"Fundamental";"Sim"
9;10;"Matutino";"Fundamental";"Não"
5;6,1;"Matutino";"Fundamental";"Sim"
6;3,9;"Matutino";"Superior";"Sim"
7;4,4;"Matutino";"Fundamental";"Sim"
4;6,6;"Matutino";"Superior";"Sim"
15;10;"Vespertino";"Superior";"Sim"
6;7,7;"Noturno";"Fundamental";"Sim"
11;3,9;"Vespertino";"Médio";"Sim"
15;6,4;"Matutino";"Médio";"Sim"
8;5;"Vespertino";"Superior";"Sim"
7;4,2;"Matutino";"Fundamental";"Não"
10;6,7;"Matutino";"Fundamental";"Não"
6;10;"Matutino";"Superior";"Sim"
9;9,3;"Noturno";"Fundamental";"Sim"
11;3,7;"Matutino";"Médio";"Sim"
8;7,3;"Vespertino";"Médio";"Sim"
6;7,7;"Matutino";"Fundamental";"Sim"
5;8,3;"Matutino";"Superior";"Não"
9;7,4;"Noturno";"Médio";"Não"
9;9,5;"Vespertino";"Médio";"Sim"
9;4;"Vespertino";"Fundamental";"Não"
7;8,1;"Matutino";"Fundamental";"Sim"
7;5,8;"Matutino";"Fundamental";"Sim"
8;5,5;"Vespertino";"Médio";"Sim"
7;8,7;"Vespertino";"Fundamental";"Não"
11;10;"Noturno";"Médio";"Sim"
13;7,3;"Matutino";"Fundamental";"Sim"
14;8,1;"Noturno";"Médio";"Sim"
7;5,6;"Matutino";"Fundamental";"Sim"
5;7;"Noturno";"Fundamental";"Sim"
15;3,7;"Vespertino";"Médio";"Não"
9;6,9;"Vespertino";"Médio";"Não"
7;9,5;"Vespertino";"Superior";"Não"
9;9,3;"Matutino";"Médio";"Sim"
7;6,3;"Matutino";"Médio";"Sim"
5;6,8;"Vespertino";"Fundamental";"Não"
6;3,7;"Noturno";"Médio";"Sim"
6;2,3;"Vespertino";"Superior";"Sim"
1;7,7;"Matutino";"Superior";"Sim"
4;4,9;"Vespertino";"Fundamental";"Sim"
3;6,7;"Noturno";"Médio";"Sim"
6;7,8;"Matutino";"Fundamental";"Não"
8;9,4;"Vespertino";"Médio";"Sim"
7;9,1;"Matutino";"Fundamental";"Sim"
6;8,4;"Matutino";"Superior";"Não"
6;5,8;"Vespertino";"Médio";"Sim"
13;8,7;"Vespertino";"Fundamental";"Sim"
6;4,8;"Matutino";"Médio";"Sim"
9;4,7;"Noturno";"Médio";"Sim"
9;4;"Matutino";"Médio";"Sim"
6;6,6;"Noturno";"Médio";"Sim"
5;7,7;"Vespertino";"Fundamental";"Não"
11;8,7;"Vespertino";"Médio";"Sim"
4;8,6;"Matutino";"Superior";"Sim"
6;6,8;"Noturno";"Fundamental";"Não"
8;5,9;"Noturno";"Médio";"Sim"
8;6,5;"Vespertino";"Médio";"Sim"
11;7,6;"Noturno";"Médio";"Sim"
10;8,7;"Noturno";"Médio";"Sim"
4;5,2;"Matutino";"Fundamental";"Não"
8;4,2;"Matutino";"Superior";"Sim"
14;2,6;"Matutino";"Médio";"Sim"
7;3,9;"Noturno";"Fundamental";"Sim"
8;5,1;"Matutino";"Médio";"Sim"
7;5,4;"Matutino";"Fundamental";"Não"
10;7;"Noturno";"Médio";"Não"
7;4,8;"Noturno";"Médio";"Sim"
7;5,9;"Matutino";"Médio";"Não"
12;4,4;"Vespertino";"Médio";"Não"
4;4,3;"Vespertino";"Fundamental";"Sim"
8;5,8;"Noturno";"Fundamental";"Sim"
8;3,7;"Matutino";"Superior";"Sim"
5;5,1;"Noturno";"Médio";"Sim"
7;10;"Matutino";"Médio";"Não"
6;6,9;"Noturno";"Médio";"Sim"
3;5,3;"Noturno";"Médio";"Sim"
5;6,4;"Noturno";"Médio";"Sim"
12;7,9;"Matutino";"Fundamental";"Sim"
9;7,1;"Vespertino";"Médio";"Sim"
10;6,1;"Matutino";"Médio";"Sim"
7;3,6;"Matutino";"Fundamental";"Sim"
8;5,9;"Noturno";"Fundamental";"Sim"
9;8,8;"Matutino";"Médio";"Sim"
15;6,7;"Matutino";"Médio";"Sim"
9;7,3;"Noturno";"Médio";"Não"
5;6,6;"Noturno";"Médio";"Sim"
1;7,7;"Matutino";"Fundamental";"Sim"
3;10;"Vespertino";"Médio";"Sim"
5;7,6;"Vespertino";"Médio";"Não"
7;3,5;"Vespertino";"Fundamental";"Não"
15;7,2;"Matutino";"Superior";"Não"
9;5,7;"Vespertino";"Médio";"Sim"
8;6,7;"Vespertino";"Médio";"Sim"
8;5,2;"Matutino";"Médio";"Não"
7;9;"Vespertino";"Fundamental";"Não"
6;6,5;"Matutino";"Fundamental";"Sim"
9;7,5;"Vespertino";"Médio";"Sim"
5;5,6;"Matutino";"Superior";"Sim"
9;10;"Vespertino";"Superior";"Não"
4;6,2;"Vespertino";"Médio";"Sim"
4;7,4;"Noturno";"Médio";"Não"
7;5,8;"Noturno";"Fundamental";"Não"
8;5,5;"Matutino";"Médio";"Sim"
13;6,6;"Noturno";"Médio";"Sim"
10;9;"Matutino";"Médio";"Não"
8;9,6;"Vespertino";"Médio";"Sim"
8;6,2;"Noturno";"Médio";"Não"
10;6,5;"Matutino";"Fundamental";"Não"
7;8,8;"Matutino";"Superior";"Sim"
9;9,6;"Matutino";"Superior";"Sim"
7;5,7;"Vespertino";"Médio";"Sim"
12;6,2;"Matutino";"Médio";"Sim"
5;8,9;"Vespertino";"Médio";"Sim"
6;7,3;"Matutino";"Médio";"Não"
7;4,7;"Vespertino";"Fundamental";"Não"
3;8,1;"Matutino";"Médio";"Não"
9;1;"Noturno";"Fundamental";"Sim"
7;8,3;"Matutino";"Médio";"Sim"
6;7,5;"Vespertino";"Médio";"Não"
9;7,5;"Matutino";"Fundamental";"Sim"
8;7,7;"Noturno";"Fundamental";"Sim"
4;5,8;"Vespertino";"Superior";"Sim"
9;6,3;"Noturno";"Médio";"Sim"
9;4,7;"Matutino";"Fundamental";"Não"
11;3,8;"Vespertino";"Fundamental";"Sim"
10;7,7;"Vespertino";"Fundamental";"Sim"
4;4,4;"Vespertino";"Fundamental";"Não"
13;9,2;"Matutino";"Fundamental";"Sim"
8;8,9;"Matutino";"Médio";"Não"
10;6;"Matutino";"Médio";"Sim"
11;6,8;"Noturno";"Médio";"Sim"
10;9,5;"Matutino";"Médio";"Sim"
9;6,7;"Vespertino";"Médio";"Sim"
12;7,7;"Noturno";"Fundamental";"Sim"
3;7,9;"Matutino";"Fundamental";"Sim"
8;9,3;"Matutino";"Fundamental";"Sim"
8;5,9;"Vespertino";"Fundamental";"Sim"
8;6,7;"Vespertino";"Médio";"Sim"
12;5,5;"Vespertino";"Médio";"Sim"
10;3,7;"Matutino";"Superior";"Não"
5;2,1;"Noturno";"Fundamental";"Sim"
6;5;"Vespertino";"Médio";"Não"
8;6,6;"Vespertino";"Médio";"Sim"
7;5,1;"Matutino";"Fundamental";"Não"
6;6,4;"Matutino";"Fundamental";"Sim"
14;6,8;"Matutino";"Médio";"Sim"
11;8,6;"Vespertino";"Médio";"Sim"
6;2,9;"Matutino";"Fundamental";"Sim"
11;10;"Noturno";"Superior";"Sim"
6;6,7;"Matutino";"Médio";"Sim"
9;8,4;"Matutino";"Médio";"Sim"
10;2,9;"Noturno";"Fundamental";"Não"
9;9,6;"Matutino";"Médio";"Não"
9;6,7;"Matutino";"Fundamental";"Sim"
8;5,5;"Matutino";"Médio";"Não"
8;5,3;"Vespertino";"Superior";"Não"
15;6,3;"Matutino";"Médio";"Sim"
10;4,9;"Noturno";"Fundamental";"Sim"
11;5,2;"Matutino";"Fundamental";"Sim"
8;2,9;"Vespertino";"Médio";"Sim"
4;6;"Matutino";"Médio";"Sim"
7;4,6;"Matutino";"Fundamental";"Sim"
4;4,1;"Noturno";"Fundamental";"Sim"
6;5;"Vespertino";"Fundamental";"Não"
8;8,1;"Noturno";"Médio";"Sim"
3;5,2;"Noturno";"Médio";"Não"
7;9,8;"Matutino";"Médio";"Sim"
14;10;"Matutino";"Superior";"Sim"
9;3,4;"Vespertino";"Fundamental";"Sim"
6;5,4;"Matutino";"Superior";"Sim"
7;6,3;"Matutino";"Médio";"Não"
5;5;"Matutino";"Médio";"Sim"
6;9,2;"Vespertino";"Fundamental";"Sim"
5;6,8;"Matutino";"Médio";"Sim"
11;4,8;"Noturno";"Fundamental";"Sim"
14;5,5;"Matutino";"Fundamental";"Não"
11;4,3;"Matutino";"Fundamental";"Não"
10;5,5;"Noturno";"Médio";"Sim"
10;8,7;"Matutino";"Superior";"Sim"
8;4,6;"Matutino";"Médio";"Não"
8;7,7;"Vespertino";"Médio";"Não"
8;6;"Vespertino";"Fundamental";"Sim"
10;3,2;"Matutino";"Médio";"Sim"
4;4,9;"Vespertino";"Fundamental";"Não"
4;3,2;"Vespertino";"Médio";"Não"
7;10;"Noturno";"Fundamental";"Sim"
4;7;"Noturno";"Médio";"Não"
13;6,8;"Matutino";"Médio";"Sim"
11;6,5;"Matutino";"Médio";"Não"
7;7;"Noturno";"Fundamental";"Sim"
7;5,9;"Vespertino";"Médio";"Sim"
11;5,7;"Matutino";"Superior";"Sim"
9;4,7;"Vespertino";"Fundamental";"Não"
10;6,1;"Matutino";"Médio";"Sim"
14;6,3;"Vespertino";"Fundamental";"Sim"
5;4,6;"Matutino";"Médio";"Sim"
7;6,8;"Vespertino";"Fundamental";"Não"
11;3,8;"Vespertino";"Médio";"Não"
5;7;"Matutino";"Médio";"Não"
11;6,4;"Matutino";"Superior";"Não"
1;8,3;"Matutino";"Médio";"Sim"
9;6,5;"Matutino";"Fundamental";"Não"
7;7,6;"Noturno";"Fundamental";"Sim"
5;9,4;"Matutino";"Médio";"Não"
7;7,2;"Matutino";"Médio";"Sim"
4;8,2;"Vespertino";"Fundamental";"Sim"
11;5,8;"Matutino";"Superior";"Não"
6;5,4;"Noturno";"Médio";"Sim"
6;5,9;"Matutino";"Médio";"Sim"
6;4,6;"Noturno";"Médio";"Sim"
7;6,9;"Vespertino";"Médio";"Não"
7;7;"Matutino";"Fundamental";"Sim"
7;4,5;"Vespertino";"Fundamental";"Sim"
10;6,4;"Vespertino";"Fundamental";"Não"
9;7,3;"Vespertino";"Fundamental";"Sim"
11;5,3;"Vespertino";"Médio";"Sim"
10;4,4;"Matutino";"Fundamental";"Sim"
6;6,7;"Matutino";"Fundamental";"Sim"
6;3,8;"Vespertino";"Médio";"Sim"
9;9;"Matutino";"Médio";"Não"
9;6,2;"Vespertino";"Superior";"Não"
11;4,5;"Matutino";"Médio";"Sim"
9;5,6;"Vespertino";"Fundamental";"Sim"
5;8;"Matutino";"Médio";"Não"
8;5,9;"Matutino";"Fundamental";"Sim"
6;6,3;"Vespertino";"Fundamental";"Sim"
12;7,7;"Vespertino";"Médio";"Sim"
10;8,4;"Matutino";"Médio";"Sim"
3;5,7;"Vespertino";"Médio";"Não"
6;7,5;"Matutino";"Fundamental";"Sim"
10;6,4;"Vespertino";"Médio";"Sim"
11;6,9;"Vespertino";"Fundamental";"Não"
12;7,1;"Matutino";"Médio";"Sim"
6;7,5;"Vespertino";"Superior";"Sim"
5;6,9;"Noturno";"Fundamental";"Não"
5;5,7;"Vespertino";"Superior";"Não"
8;7,2;"Vespertino";"Fundamental";"Sim"
8;6,9;"Vespertino";"Superior";"Não"
5;7,3;"Matutino";"Fundamental";"Sim"
12;5,9;"Vespertino";"Fundamental";"Não"
7;7,1;"Matutino";"Médio";"Sim"
12;5,9;"Noturno";"Fundamental";"Não"
8;6,9;"Matutino";"Médio";"Sim"
11;4,8;"Vespertino";"Superior";"Não"
7;10;"Vespertino";"Médio";"Não"
6;6,8;"Noturno";"Médio";"Sim"
14;6,3;"Vespertino";"Médio";"Sim"
5;4;"Noturno";"Superior";"Sim"
8;6,3;"Vespertino";"Superior";"Sim"
11;6,9;"Matutino";"Médio";"Sim"
4;7,1;"Vespertino";"Médio";"Sim"
7;6,3;"Matutino";"Médio";"Sim"
6;6,2;"Matutino";"Médio";"Não"
8;7,3;"Noturno";"Médio";"Sim"
7;8,2;"Matutino";"Médio";"Sim"
12;5,2;"Matutino";"Fundamental";"Não"
7;6,1;"Matutino";"Médio";"Não"
11;4,5;"Vespertino";"Fundamental";"Sim"
10;5,5;"Matutino";"Médio";"Sim"
10;4,2;"Matutino";"Fundamental";"Não"
6;5,2;"Vespertino";"Superior";"Sim"
11;8,6;"Noturno";"Fundamental";"Sim"
9;8,3;"Noturno";"Médio";"Não"
8;5,5;"Matutino";"Superior";"Não"
7;6,9;"Vespertino";"Médio";"Sim"
12;6,9;"Vespertino";"Médio";"Sim"
5;10;"Matutino";"Fundamental";"Sim"
6;4;"Matutino";"Superior";"Sim"
8;5,9;"Noturno";"Superior";"Sim"
9;7;"Vespertino";"Fundamental";"Sim"
6;4,9;"Vespertino";"Médio";"Sim"
9;6,4;"Vespertino";"Médio";"Não"
8;4,6;"Matutino";"Fundamental";"Não"
8;6,1;"Vespertino";"Médio";"Sim"
13;8,5;"Vespertino";"Fundamental";"Sim"
11;6,5;"Matutino";"Fundamental";"Sim"
8;6,6;"Vespertino";"Médio";"Não"
10;6,3;"Matutino";"Médio";"Não"
7;4,6;"Noturno";"Médio";"Não"
7;1,9;"Noturno";"Médio";"Não"
4;7,2;"Matutino";"Superior";"Sim"
9;4,6;"Noturno";"Fundamental";"Sim"
8;1,2;"Vespertino";"Médio";"Sim"
8;6,1;"Matutino";"Médio";"Não"
7;4,3;"Matutino";"Fundamental";"Não"
11;6,5;"Vespertino";"Superior";"Sim"
12;5,8;"Matutino";"Médio";"Sim"
7;6,7;"Vespertino";"Fundamental";"Não"
3;8,5;"Vespertino";"Fundamental";"Não"
7;4,5;"Vespertino";"Superior";"Não"
6;7,9;"Noturno";"Fundamental";"Sim"
9;6,2;"Vespertino";"Fundamental";"Não"
6;5,2;"Vespertino";"Superior";"Sim"
4;5,2;"Noturno";"Médio";"Não"
8;5,5;"Matutino";"Médio";"Sim"
11;5,2;"Noturno";"Fundamental";"Sim"
6;3,9;"Vespertino";"Fundamental";"Não"
9;5,3;"Vespertino";"Fundamental";"Sim"
8;7,4;"Matutino";"Médio";"Sim"
7;5,8;"Vespertino";"Médio";"Sim"
16;5;"Vespertino";"Médio";"Não"
9;7,4;"Vespertino";"Médio";"Sim"
7;4,7;"Matutino";"Médio";"Sim"
6;5,1;"Matutino";"Médio";"Sim"
8;7;"Noturno";"Fundamental";"Sim"
7;5,5;"Matutino";"Médio";"Não"
6;6,7;"Noturno";"Fundamental";"Não"
6;4,2;"Matutino";"Médio";"Sim"
11;5,2;"Vespertino";"Superior";"Não"
9;8,5;"Matutino";"Médio";"Não"
5;6,2;"Noturno";"Médio";"Sim"
7;8,2;"Vespertino";"Médio";"Sim"
7;4,4;"Matutino";"Superior";"Sim"
2;4,6;"Matutino";"Médio";"Não"
9;6,3;"Matutino";"Médio";"Sim"
7;8,2;"Vespertino";"Fundamental";"Sim"
10;4,8;"Vespertino";"Superior";"Sim"
5;5,4;"Matutino";"Fundamental";"Não"
9;8,1;"Vespertino";"Fundamental";"Sim"
6;7,5;"Matutino";"Médio";"Sim"
10;6,1;"Matutino";"Fundamental";"Não"
4;6,3;"Matutino";"Médio";"Sim"
4;8;"Matutino";"Fundamental";"Não"
7;10;"Vespertino";"Médio";"Sim"
6;6,7;"Matutino";"Superior";"Sim"
13;7,5;"Matutino";"Fundamental";"Sim"
8;6,8;"Matutino";"Médio";"Sim"
14;7,5;"Noturno";"Fundamental";"Não"
11;7,7;"Vespertino";"Fundamental";"Sim"
9;6,7;"Noturno";"Fundamental";"Não"
8;7,3;"Noturno";"Médio";"Sim"
7;7,5;"Vespertino";"Fundamental";"Não"
7;9,2;"Vespertino";"Médio";"Sim"
6;8,8;"Matutino";"Médio";"Sim"
8;3,2;"Vespertino";"Fundamental";"Sim"
5;5,3;"Vespertino";"Médio";"Sim"
5;10;"Vespertino";"Fundamental";"Sim"
5;8,2;"Matutino";"Fundamental";"Sim"
4;2,8;"Vespertino";"Médio";"Sim"
5;7,1;"Matutino";"Fundamental";"Sim"
9;6,1;"Noturno";"Fundamental";"Sim"
12;9,3;"Matutino";"Fundamental";"Sim"
5;5,3;"Vespertino";"Fundamental";"Sim"
5;5,7;"Vespertino";"Superior";"Sim"
9;9,6;"Vespertino";"Fundamental";"Sim"
4;5,2;"Matutino";"Fundamental";"Não"
5;5,4;"Noturno";"Médio";"Não"
17;4,3;"Vespertino";"Superior";"Sim"
6;4,7;"Matutino";"Fundamental";"Não"
10;3,9;"Vespertino";"Fundamental";"Sim"
8;7,4;"Vespertino";"Médio";"Sim"
5;5,5;"Vespertino";"Fundamental";"Sim"
5;8,6;"Matutino";"Superior";"Não"
10;5,7;"Matutino";"Fundamental";"Sim"
7;6,6;"Matutino";"Fundamental";"Sim"
8;5;"Matutino";"Fundamental";"Sim"
8;7,4;"Matutino";"Médio";"Sim"
9;9,7;"Matutino";"Médio";"Sim"
13;7;"Noturno";"Superior";"Sim"
5;8,1;"Matutino";"Médio";"Sim"
6;6,4;"Vespertino";"Médio";"Sim"
3;6,5;"Vespertino";"Médio";"Não"
9;4,9;"Matutino";"Médio";"Sim"
4;4,6;"Matutino";"Médio";"Não"
10;3,3;"Matutino";"Médio";"Não"
8;4,7;"Noturno";"Médio";"Sim"
15;7,7;"Noturno";"Fundamental";"Sim"
15;7,5;"Noturno";"Fundamental";"Não"
